estado;cidade;local;endereço;bairro;cep;tipo de material;horario_seg_sex;horario_sab_dom;tipo;;;;
SP;São Vicente;Assai Atacadista S/a;Antonio Emerick, 291;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Associação Comercial De São Vicente;Jacob Emerick, 1235;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Atacadão S.a;Ponte Nova, 12;jd. nosso lar;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Baratão Das Tintas;Antonio Emerick, 1445;Vila cascata;00000-000;Coleta seletiva;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;C & C - Loja São Vicente;Antonio Emerick, 1424;centro;00000-000;Coleta seletiva,Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Carrefour;Pref. José Monteiro, 1045;jd. independência;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Casas Bahia São Vicente;Pça.Barão Do Rio Branco, 207;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Coopersam/Atecubesp;Sambaibauta, 16;sindicato clube;00000-000;Coleta seletiva;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Droga Raia - Loja A;Frei Gaspar, 666;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Droga Raia - Loja B;Frei Gaspar, 256;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Droga Raia - Loja C;Frei Gaspar, 186;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria Carrefour;Pref. José Monteiro, 1045;jd. independência;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria São Paulo - Itararé;Rua Antonio D Nobrega, 104;itararé;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria São Paulo - Pres.Wilson;Antonio Rodrigues, 186;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria São Paulo - São Vicente 1;Frei Gaspar, 226;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria São Paulo - São Vicente 2;Pça.Cornel Lopes, 172;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria São Paulo - São Vicente 3;Frei Gaspar, 468;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Drogaria São Paulo - São Vicente 4;Frei Gaspar, 594;centro;00000-000;Eletrônicos,Medicamentos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Extra Supermercado - Humaitá;Pref. José Monteiro, 1066;jd. independência;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;F.j.Rodrigues Me (Ao Fei Barateiro);Xv De Novembro, 778;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Mercado Ativo;Padre Anchieta, 384;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Mercado Extra;Pref. José Monteiro, 1045;jd. independência;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Multicoisas - Brisamar;Frei Gaspar, 365;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Pague Menos;Frei Gaspar, 390;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Pão De Açucar;Pres. Wilson, 306;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
SP;São Vicente;Shopping Brisamar;Frei Gaspar, 365;centro;00000-000;Eletrônicos;Não disponível;Não disponível;Empresa;;;;
